From	To
E9PNV5	HGNC:15997
E9PP21	HGNC:2469
E9PP73	HGNC:2231
E9PPH5	HGNC:16673
E9PPJ0	HGNC:10769
E9PPM7	HGNC:26338
E9PPM8	HGNC:24269
E9PRR7	HGNC:3954
E9PRY8	HGNC:3211
F2Z2K0	HGNC:15912
F2Z2U8	HGNC:23212
F2Z393	HGNC:11559
F2Z3L0	HGNC:14294
F5GWE2	HGNC:24157
F5GWF6	HGNC:1615
F5GWP8	HGNC:6207
F5GX11	HGNC:9530
F5GX51	HGNC:13872
F5GXS0	HGNC:1324
F5GXS2	HGNC:166
F5GY55	HGNC:2717
F5GY66	HGNC:20411
F5GYI5	HGNC:6462
F5GYR8	HGNC:30904
F5GYZ3	HGNC:7871
F5GZ53	HGNC:11805
F5GZA8	HGNC:10824
F5GZK5	HGNC:1622
F5GZS0	HGNC:14410
F5H018	HGNC:9846
F5H098	HGNC:6970
F5H0L8	HGNC:17018
F5H0N7	HGNC:10461
F5H0N8	HGNC:9658
F5H0W4	HGNC:1053
F5H157	HGNC:9774
F5H1A8	HGNC:4620
F5H1C6	HGNC:23151
F5H1H2	HGNC:24236
F5H1R4	HGNC:17102
F5H1S9	HGNC:15508
F5H1T9	HGNC:16775
F5H1U3	HGNC:3720
F5H223	HGNC:2712
F5H2F4	HGNC:7432
F5H2F6	HGNC:21199
F5H2M7	HGNC:14540
F5H365	HGNC:10701
F5H3I4	HGNC:167
F5H3T8	HGNC:9870
F5H3X9	HGNC:9302
F5H425	HGNC:3270
F5H4B6	HGNC:28114
F5H4D6	HGNC:30292
F5H4L7	HGNC:12711
F5H4R9	HGNC:2974
F5H4X1	HGNC:30904
F5H564	HGNC:3298
F5H5D3	HGNC:20768
F5H5P4	HGNC:12657
F5H5W3	HGNC:1617
F5H619	HGNC:20276
F5H6A0	HGNC:10461
F5H6C4	HGNC:10701
F5H6E6	HGNC:16084
F5H737	HGNC:343
F5H747	HGNC:12468
F5H7S7	HGNC:6111
F5H853	HGNC:2760
F5H897	HGNC:16264
F5H8J2	HGNC:8548
F5H8K9	HGNC:6441
F6QR24	HGNC:8062
F6RY50	HGNC:10885
F6S9Y6	HGNC:17372
F6SBX2	HGNC:29685
F6TH33	HGNC:13096
F6UT28	HGNC:4396
F6UXX1	HGNC:16918
F6VDH7	HGNC:11343
F6WH68	HGNC:44095
F6WH68	HGNC:15888
F6X838	HGNC:2237
F8VNX2	HGNC:8877
F8VP00	HGNC:8877
F8VPD4	HGNC:1424
F8VQ10	HGNC:13917
F8VSD4	HGNC:12492
F8VTL3	HGNC:7568
F8VU65	HGNC:10371
F8VV32	HGNC:6740
F8VV40	HGNC:6710
F8VV57	HGNC:6442
F8VVA7	HGNC:2243
F8VVT9	HGNC:16921
F8VVU1	HGNC:14188
F8VXU5	HGNC:14340
F8VYA6	HGNC:15721
F8VZN8	HGNC:7618
F8W026	HGNC:12028
F8W050	HGNC:4862
F8W0C6	HGNC:6442
F8W0V1	HGNC:4806
F8W1H5	HGNC:9785
F8W1S1	HGNC:28929
F8W651	HGNC:2243
F8W696	HGNC:600
F8W6C1	HGNC:11275
F8W6G1	HGNC:7993
F8W6P5	HGNC:4827
F8W6V6	HGNC:17009
F8W6X8	HGNC:20331
F8W720	HGNC:4378
F8W726	HGNC:29877
F8W7G7	HGNC:3778
F8W7T0	HGNC:14620
F8W8F5	HGNC:1480
F8W8T1	HGNC:7532
F8W904	HGNC:2431
F8W913	HGNC:30512
F8W9B4	HGNC:9973
F8W9L4	HGNC:3690
F8W9N7	HGNC:1490
F8W9X7	HGNC:25611
F8WAD0	HGNC:19706
F8WAI1	HGNC:24607
F8WAK8	HGNC:11355
F8WCF6	HGNC:38830
F8WCU4	HGNC:29323
F8WD26	HGNC:6646
F8WD54	HGNC:22923
F8WDK9	HGNC:8766
F8WE04	HGNC:5246
F8WE78	HGNC:4385
F8WE98	HGNC:3754
F8WEA9	HGNC:6465
F8WJN3	HGNC:13871
G3V0F9	HGNC:9872
G3V126	HGNC:18303
G3V1C2	HGNC:26707
G3V1E0	HGNC:13582
G3V1K0	HGNC:12436
G3V1U9	HGNC:20766
G3V2J8	HGNC:5253
G3V2S6	HGNC:13527
G3V340	HGNC:15720
G3V359	HGNC:587
G3V4P8	HGNC:4373
G3V4T5	HGNC:3265
G3V559	HGNC:13527
G3V5V3	HGNC:10663
G3V5X4	HGNC:17084
G3XAA0	HGNC:18040
G3XAD8	HGNC:11387
G3XAH0	HGNC:9164
G5E9C5	HGNC:8784
G5E9G2	HGNC:28951
G5E9P9	HGNC:9859
G5E9R0	HGNC:132
G5E9U0	HGNC:29821
G5E9U5	HGNC:4226
G5E9V1	HGNC:11758
G5E9Z8	HGNC:11303
G5EA03	HGNC:29191
G5EA52	HGNC:4606
G8JLB2	HGNC:12822
G8JLD5	HGNC:2973
G8JLG1	HGNC:11111
G8JLH9	HGNC:11364
G8JLL9	HGNC:23212
H0Y2Y8	HGNC:13200
H0Y394	HGNC:4857
H0Y3Y9	HGNC:9561
H0Y449	HGNC:8014
H0Y498	HGNC:16787
H0Y4M6	HGNC:14576
H0Y4R1	HGNC:6053
H0Y4Y4	HGNC:28670
H0Y4Z6	HGNC:9723
H0Y5F3	HGNC:3754
H0Y5H9	HGNC:10570
H0Y5Q9	HGNC:6079
H0Y5W0	HGNC:30892
H0Y612	HGNC:16290
H0Y6G2	HGNC:1463
H0Y6T8	HGNC:14244
H0Y764	HGNC:31928
H0Y7A0	HGNC:19880
H0Y7K8	HGNC:11111
H0Y8W2	HGNC:4399
H0Y8W3	HGNC:9996
H0Y8X7	HGNC:2236
H0Y9A0	HGNC:3571
H0Y9K7	HGNC:10774
H0Y9Q1	HGNC:18449
H0YB24	HGNC:23360
H0YBC2	HGNC:8979
H0YBF7	HGNC:2720
H0YBN9	HGNC:9300
H0YC04	HGNC:854
H0YC23	HGNC:9300
H0YCQ8	HGNC:24460
H0YCU9	HGNC:11553
H0YCY6	HGNC:24552
H0YDN1	HGNC:9069
H0YDU8	HGNC:9322
